vertiport,long,lat,num_vertihubs,vertihub_0
135,-87.97511134747518,41.979349625754864,1,11
136,-88.9416088672925,41.93506515455875,1,41
137,-87.96958461992568,41.63636459878118,1,4
138,-88.24621701435572,41.878761008437415,1,44
139,-89.08250702134417,41.75947537708572,1,16
140,-88.14699542109432,42.06608789957086,1,2
141,-88.21797042922205,41.51097100398599,1,26
142,-88.27404903110136,41.35060600474394,1,57
143,-88.4912831088968,41.696727117363906,1,56
144,-87.9385810374403,42.144383870000155,1,11
145,-87.65815475219601,41.57969578462719,1,49
146,-86.71904239636766,41.67152907454364,1,3
147,-87.80323241783692,42.07877724844332,1,37
148,-88.29885930880582,42.33403284039083,1,15
149,-88.17104022587958,41.2403662076743,1,13
150,-88.41681735444975,42.18132804818855,1,15
151,-88.67339136859465,41.33769329574801,1,40
152,-88.33865180440796,42.03516400608389,1,2
153,-86.91959490083153,41.633740524831865,1,33
154,-87.77211672283897,41.58694008311793,1,12
155,-88.22802451400743,41.75971033332947,1,48
156,-88.35111648482447,41.808930233884254,1,21
157,-89.08790944771316,42.31453818738161,1,43
158,-87.62018655289056,41.72788934177385,1,32
159,-88.26458447516653,42.60957658204011,1,60
