vertiport,long,lat,num_vertihubs,vertihub_0,vertihub_1
91,-88.87693201834918,42.34435807734853,1,0,-1
92,-87.65569652076749,41.66083866062578,2,11,13
93,-87.77806562476417,41.85266035833894,2,11,13
94,-87.94224904924258,41.393344011974506,1,7,-1
95,-88.4564190371608,42.44706248050104,1,9,-1
96,-88.14538062930393,41.98860008960062,2,1,14
97,-87.91334496179329,42.03629485806557,2,5,12
98,-87.96461602885925,42.37186047492672,1,3,-1
99,-87.87122420090292,42.50526532971928,1,3,-1
100,-88.3955844015108,42.777808752953455,1,9,-1
101,-88.57678119422238,41.2214319057473,1,10,-1
102,-87.85568153932336,41.875975426890186,2,5,12
103,-88.22592149958693,41.63508941115588,2,1,14
104,-88.64369708624697,42.01268768111472,2,6,15
105,-87.4062723923771,41.28214814733381,1,2,-1
106,-86.79196918983438,41.58884136759826,1,8,-1
107,-88.08670007781245,41.31986259737993,1,10,-1
108,-87.55280886111719,41.714617708159125,2,11,13
109,-87.64052885184798,41.37859944784397,1,7,-1
110,-88.85866157682881,41.34922649816582,1,4,-1
111,-86.61382192255118,41.53750011370558,1,8,-1
112,-88.42203149754769,42.29947262699249,1,9,-1
113,-88.34588556218797,42.50722441356569,1,9,-1
114,-87.8336432007332,42.01317189029041,2,5,12
115,-87.95687644741061,42.250437085658554,2,5,12
116,-87.38583349544861,41.42233244903927,1,2,-1
117,-87.76961383883153,41.777976738251446,2,11,13
118,-87.98437332409479,41.829410237066476,2,1,14
119,-87.82854467755081,42.19052790713199,2,5,12
120,-88.68679421487182,41.751285968282026,2,6,15
121,-87.5668430292812,41.498096457649915,2,11,13
122,-89.31086345963129,42.31129985869113,1,0,-1
123,-88.5062686965762,41.946175586097965,2,6,15
124,-88.98422327147831,42.280328053766475,1,0,-1
125,-87.94285927719048,42.74734184077171,1,3,-1
126,-87.2440111410022,41.45901447733344,1,2,-1
127,-88.12722993855334,42.53731091647885,1,3,-1
128,-87.67891497069493,41.953736434340854,2,5,12
129,-89.11704161960587,42.43329443937647,1,0,-1
130,-87.63355524866942,41.830406986650075,2,11,13
131,-88.72896241564662,42.327268080066005,1,9,-1
132,-86.80987832203168,41.3758458404335,1,8,-1
133,-88.0571644942783,41.04537939152583,1,7,-1
134,-88.05970370450635,41.860501140652836,2,1,14
135,-87.97511134747518,41.979349625754864,2,5,12
136,-88.9416088672925,41.93506515455875,1,0,-1
137,-87.96958461992568,41.63636459878118,2,1,14
138,-88.24621701435572,41.878761008437415,2,1,14
139,-89.08250702134417,41.75947537708572,1,4,-1
140,-88.14699542109432,42.06608789957086,2,5,12
141,-88.21797042922205,41.51097100398599,1,10,-1
142,-88.27404903110136,41.35060600474394,1,10,-1
143,-88.4912831088968,41.696727117363906,2,6,15
144,-87.9385810374403,42.144383870000155,2,5,12
145,-87.65815475219601,41.57969578462719,2,11,13
146,-86.71904239636766,41.67152907454364,1,8,-1
147,-87.80323241783692,42.07877724844332,2,5,12
148,-88.29885930880582,42.33403284039083,1,9,-1
149,-88.17104022587958,41.2403662076743,1,10,-1
150,-88.41681735444975,42.18132804818855,2,6,15
151,-88.67339136859465,41.33769329574801,1,4,-1
152,-88.33865180440796,42.03516400608389,2,6,15
153,-86.91959490083153,41.633740524831865,1,8,-1
154,-87.77211672283897,41.58694008311793,2,11,13
155,-88.22802451400743,41.75971033332947,2,1,14
156,-88.35111648482447,41.808930233884254,2,6,15
157,-89.08790944771316,42.31453818738161,1,0,-1
158,-87.62018655289056,41.72788934177385,2,11,13
159,-88.26458447516653,42.60957658204011,1,3,-1
